#,id,parent_id,name,knowledge,num_q
1,399,1,JUnit,JUnit,2
2,400,1,Java并发数据结构,Java并发数据结构,3
3,401,1,文件扩展名,文件扩展名,4
4,402,1,对象成员,对象成员,5
5,403,1,单元测试,单元测试,6
6,404,1,单例模式,单例模式,7
7,405,1,方法返回类型,方法返回类型,8
8,406,1,文件操作,文件操作,9
9,407,1,数组访问,数组访问,10
10,408,1,Java字符编码,Java字符编码,11
11,409,1,Java并发协作控制,Java并发协作控制,12
12,410,1,入口方法,入口方法,13
13,411,1,数据类型,数据类型,14
14,412,1,Java高级字符串处理,Java高级字符串处理,15
15,413,1,字符串,字符串,16
16,414,1,Java异常分类,Java异常分类,17
17,415,1,GUI,GUI,18
18,416,1,log4j,log4j,19
19,417,1,Java调用C程序(JNI),Java调用C程序(JNI),20
20,418,1,void,void,21
21,419,1,主方法,主方法,22
22,420,1,异常处理,异常处理,23
23,421,1,列表List,列表List,24
24,422,1,格式化相关类,格式化相关类,25
25,423,1,算术运算符,算术运算符,26
26,424,1,关系运算符,关系运算符,27
27,425,1,条形码和二维码解析,条形码和二维码解析,28
28,426,1,变量,变量,29
29,427,1,线程,线程,30
30,428,1,取模运算,取模运算,31
31,429,1,Frame,Frame,32
32,430,1,布局管理器,布局管理器,33
33,431,1,异常类,异常类,34
34,432,1,访问控制,访问控制,35
35,433,1,JSON解析,JSON解析,36
36,434,1,构造方法,构造方法,37
37,435,1,网络应用程序,网络应用程序,38
38,436,1,形式参数,形式参数,39
39,437,1,XML解析,XML解析,40
40,438,1,构造函数,构造函数,41
41,439,1,包,包,42
42,440,1,运算符,运算符,43
43,441,1,鼠标事件,鼠标事件,44
44,442,1,关键字,关键字,45
45,443,1,JCF,JCF,46
46,444,1,表格文件解析,表格文件解析,47
47,445,1,集合Set,集合Set,48
48,446,1,jar文件导出和导入,jar文件导出和导入,49
49,447,1,赋值语句,赋值语句,50
50,448,1,Java io 包,Java io 包,51
51,449,1,类与对象,类与对象,52
52,450,1,继承,继承,53
53,451,1,覆盖,覆盖,54
54,452,1,java源文件,java源文件,55
55,453,1,JDBC操作,JDBC操作,56
56,454,1,选择语句,选择语句,57
57,455,1,Applet,Applet,58
58,456,1,分支语句,分支语句,59
59,457,1,字节码,字节码,60
60,458,1,修饰符,修饰符,61
61,459,1,文本文件读写,文本文件读写,62
62,460,1,Java访问权限,Java访问权限,63
63,461,1,Java异常处理,Java异常处理,64
64,462,1,循环语句,循环语句,65
65,463,1,XML简介,XML简介,66
66,464,1,Zip文件读写,Zip文件读写,67
67,465,1,网络基础知识,网络基础知识,68
68,466,1,多线程同步,多线程同步,69
69,467,1,Swing,Swing,70
70,468,1,static和final测验,static和final测验,71
71,469,1,自定义异常,自定义异常,72
72,470,1,常量设计和常量池,常量设计和常量池,73
73,471,1,二进制文件读写,二进制文件读写,74
74,472,1,paint,paint,75
75,473,1,数字相关类,数字相关类,76
76,474,1,三元运算符,三元运算符,77
77,475,1,不可变对象和字符串,不可变对象和字符串,78
78,476,1,Thread,Thread,79
79,477,1,基本类型,基本类型,80
80,478,1,数据库和SQL,数据库和SQL,81
81,479,1,编译运行,编译运行,82
82,480,1,字符串相关类,字符串相关类,83
83,481,1,Java多线程,Java多线程,84
84,482,1,package和import--命令行,package和import--命令行,85
85,483,1,容器,容器,86
86,484,1,接口与实现类,接口与实现类,87
87,485,1,static,static,88
88,486,1,方法,方法,89
89,487,1,数组,数组,90
90,488,1,标识符,标识符,91
91,489,1,映射Map,映射Map,92
92,490,1,JDK,JDK,93
93,491,1,JRE,JRE,94
94,492,1,nan,nan,95
95,493,1,方法重载,方法重载,96
96,494,1,重载,重载,97
97,495,1,静态方法,静态方法,98
98,496,1,Java调用Java程序(RMI),Java调用Java程序(RMI),99
99,497,1,Maven,Maven,100
100,498,1,工具类,工具类,101
101,499,1,整数,整数,102
102,500,1,图形图像解析,图形图像解析,103
103,501,1,Java并发框架Executor,Java并发框架Executor,104
104,502,1,Java多线程信息共享,Java多线程信息共享,105
105,503,1,PDF解析,PDF解析,106
106,504,1,时间相关类,时间相关类,107
107,505,1,Java TCP 编程,Java TCP 编程,108
108,506,1,进程,进程,109
109,507,1,堆,堆,110
110,508,1,字符流,字符流,111
111,509,1,字节流,字节流,112
112,510,1,中国特殊符号,中国特殊符号,113
113,511,1,方法头,方法头,114
114,512,1,Java UDP 编程,Java UDP 编程,115
115,513,1,对象类型,对象类型,116
116,514,1,package和import,package和import,117
117,515,1,Docx解析,Docx解析,118
118,516,1,Java定时任务执行,Java定时任务执行,119
119,517,1,抽象类和抽象方法,抽象类和抽象方法,120
120,518,1,return,return,121
121,519,1,final,final,122
122,520,1,super,super,123
123,521,1,类,类,124
124,522,1,字符集,字符集,125
125,523,1,文件系统及Java文件基本操作,文件系统及Java文件基本操作,126
126,524,1,程序编写,程序编写,127
127,525,1,顺序结构,顺序结构,128
128,526,1,大整数加法,大整数加法,129
129,527,1,输入输出Scanner,输入输出Scanner,130
130,528,1,字符转换,字符转换,131
131,529,1,浮点数,浮点数,132
132,530,1,数字反转,数字反转,133
133,531,1,分支结构,分支结构,134
134,532,1,数字排序,数字排序,135
135,533,1,函数与结构体,函数与结构体,136
136,534,1,模拟,模拟,137
137,535,1,递归,递归,138
138,536,1,质数,质数,139
139,537,1,搜索,搜索,140
140,538,1,排列组合,排列组合,141
141,539,1,素数,素数,142
142,540,1,枚举,枚举,143
143,541,1,排序,排序,144
144,542,1,进制,进制,145
145,543,1,循环结构,循环结构,146
146,544,1,位运算,位运算,10
147,545,1,按值传递,按值传递,10
148,546,1,变量初始化,变量初始化,10
149,547,1,变量类型,变量类型,10
150,548,1,哈希表,哈希表,10
151,549,1,前缀和,前缀和,10
152,550,1,并查集,并查集,10
153,551,1,链表,链表,10
154,552,1,矩阵,矩阵,10
155,553,1,双向链表,双向链表,10
156,554,1,一维动态规划,一维动态规划,10
157,555,1,克隆,克隆,10
158,556,1,多维动态规划,多维动态规划,10
159,557,1,Java源文件,Java源文件,10
160,558,1,面向对象编程,面向对象编程,10
161,559,1,默认值,默认值,10
162,560,1,数学,数学,10
163,561,1,类型转换,类型转换,10
164,562,1,贪心,贪心,10
165,563,1,计数,计数,10
166,564,1,设计,设计,10
167,565,1,逻辑运算符,逻辑运算符,10
168,566,1,引用传递,引用传递,10
169,567,1,引用,引用,10
170,568,1,双指针,双指针,10
171,569,1,静态变量,静态变量,10
172,570,1,方法调用,方法调用,10
173,571,1,堆栈,堆栈,10
174,572,1,Kadane 算法,Kadane 算法,10
175,573,1,滑动窗口,滑动窗口,10
176,574,1,数组初始化,数组初始化,10
177,575,1,分治,分治,10
178,576,1,动态规划,动态规划,10
179,577,1,二分查找,二分查找,10
180,578,1,运算符优先级,运算符优先级,10
181,579,1,ASCLL码,ASCLL码,10
182,580,1,编译与运行,编译与运行,10
183,581,1,栈,栈,10
184,582,1,布尔值,布尔值,10
